rating,user,date,text,menu_mentions,source
5,Leah S,2026-04-29,Excellent selection of baked goods. Granola yogurt is amazing.,granola|pastry,manual_from_yelp_page
5,Bruce D,2025-10-19,I had a large matcha thick frosty and delicious.,matcha,manual_from_yelp_page
5,David H,2024-11-24,Double espresso was smooth and creamy. Muffins scones and breads available.,espresso|muffin|scone,manual_from_yelp_page
5,Erik B,2024-12-05,Almond croissant flaky buttery almond paste. Hot coffee rich and smooth.,almond croissant|pastry|coffee,manual_from_yelp_page
4,Kailey N,2025-07-19,Picked up matcha via app. Matcha was tasty.,matcha,manual_from_yelp_page
5,Michelle T,2024-11-15,Large latte and ham cheese croissant. Latte perfect balance.,latte|ham cheese croissant,manual_from_yelp_page
3,Valerie W,2024-12-15,Strawberry matcha lemonade decently good. Good spot to do work.,strawberry matcha lemonade|matcha,manual_from_yelp_page
5,Jade M,2026-04-29,Matcha and sandwich. Specialty drinks amazing.,matcha|sandwich,manual_from_yelp_page
4,Kim F,2024-04-04,Graham cracker latte hit the spot.,graham cracker latte|latte,manual_from_yelp_page
1,Apple B,2025-11-14,Ground coffee handed loose in bags. Used to be loyal visitor.,coffee,manual_from_yelp_page
